x y   z   vx  vy  vz  m r_esc
-8670.476727424848   4978.6751280538665 -192.76068219493197 0.0002776625353769046 -0.0008550422018597784 -7.832541931680551e-05 0.361
-574.9052122529661   8840.773167765961 -4638.269114249502 0.0007270739325709735 -0.0013004559695407871 0.00013039390550556124 0.261
-9031.566441324268   1837.9110729746205 -3880.201995482178 0.0014850373419614876 -0.0005634902807031533 0.001310235539053047 0.089
5832.528069952687   2598.4119171475745 -7696.183638798983 -0.0004547443850120475 0.0008002826356512406 0.0005717133542453327 1.447
-8448.054058515576   4943.387100745571 2047.7677943392189 1.6844738852839835e-05 -0.0011563315539826371 -0.0012687396362839182 0.444
1881.9222057552322   -4059.1728531629387 -8943.897882459822 -0.000796727969582068 0.0011740027468800744 0.0030265747126302506 0.141
9423.202756235876   -1713.667364164875 2875.4370529165217 -0.0023337851168088344 0.00016321382814341083 -0.001661760633358597 0.144
125.77422045911925   7169.021841307736 6971.079328714452 -0.00031165888071705986 -0.0018034325281056035 -0.0019320350126037918 0.641
1681.251568364539   2639.631585905654 -9497.76307694805 -0.0015893953782074057 -0.001487945960304463 0.00023821487301877228 0.431
436.3599069535763   -5161.0540342208615 -8554.226322913844 -0.00013505748381588596 0.0006215374244523412 0.0006749547525571899 0.086
-6344.737911009081   6865.560490172898 -3551.132842874376 0.00037062467937137985 -0.0007262511656306264 0.000992641135671699 0.284
